# method	path	owner	authentication	csrf
GET	/api/auth/csrf	gateway	PUBLIC	NO
POST	/api/auth/verification/register	account	PUBLIC	YES
POST	/api/auth/verification/reset-password	account	PUBLIC	YES
POST	/api/auth/register	account	PUBLIC	YES
POST	/api/auth/login	gateway	PUBLIC	YES
POST	/api/auth/logout	gateway	AUTHENTICATED	YES
POST	/api/auth/password/reset	account	PUBLIC	YES
GET	/api/users/me	account	AUTHENTICATED	NO
PUT	/api/users/me	account	AUTHENTICATED	YES
GET	/api/items	marketplace	PUBLIC	NO
GET	/api/items/{id}	marketplace	PUBLIC	NO
GET	/api/items/mine	marketplace	AUTHENTICATED	NO
POST	/api/items	marketplace	AUTHENTICATED	YES
PUT	/api/items/{id}	marketplace	AUTHENTICATED	YES
POST	/api/items/{id}/seller-actions	marketplace	AUTHENTICATED	YES
POST	/api/media/product-images	marketplace	AUTHENTICATED	YES
GET	/api/media/product-images/{ownerId}/{fileName}	marketplace	PUBLIC	NO
GET	/api/messages/item/{itemId}	marketplace	PUBLIC	NO
POST	/api/messages	marketplace	AUTHENTICATED	YES
PUT	/api/messages/{id}	marketplace	AUTHENTICATED	YES
DELETE	/api/messages/{id}	marketplace	AUTHENTICATED	YES
GET	/api/search	marketplace	PUBLIC	NO
POST	/api/chat/conversations	trading	AUTHENTICATED	YES
POST	/api/chat/order-conversations	trading	AUTHENTICATED	YES
GET	/api/chat/conversations	trading	AUTHENTICATED	NO
GET	/api/chat/conversations/{id}/messages	trading	AUTHENTICATED	NO
POST	/api/chat/conversations/{id}/messages	trading	AUTHENTICATED	YES
POST	/api/chat/conversations/{id}/read	trading	AUTHENTICATED	YES
PUT	/api/chat/blocks/{userId}	trading	AUTHENTICATED	YES
DELETE	/api/chat/blocks/{userId}	trading	AUTHENTICATED	YES
GET	/api/chat/unread-count	trading	AUTHENTICATED	NO
GET	/api/orders	trading	AUTHENTICATED	NO
GET	/api/orders/desk	trading	AUTHENTICATED	NO
POST	/api/orders	trading	AUTHENTICATED	YES
POST	/api/orders/{id}/actions	trading	AUTHENTICATED	YES
POST	/api/reports	governance	AUTHENTICATED	YES
GET	/api/reports/mine	governance	AUTHENTICATED	NO
GET	/api/admin/reports	governance	ADMIN	NO
PUT	/api/admin/reports/{id}	governance	ADMIN	YES
GET	/api/admin/users	account	ADMIN	NO
PUT	/api/admin/users/{id}/status	account	ADMIN	YES
GET	/api/admin/messages	marketplace	ADMIN	NO
DELETE	/api/admin/messages/{id}	marketplace	ADMIN	YES
GET	/api/admin/items	marketplace	ADMIN	NO
PUT	/api/admin/items/{id}/status	marketplace	ADMIN	YES
